== TRAIN  (1041 articles, 34178 sentences) ==
article_id: raw_split2/794   sentences: 23
article_id: raw_split2/636   sentences: 28
article_id: raw_split2/283   sentences: 52
article_id: raw_split2/603   sentences: 27
article_id: raw_split2/201   sentences: 32
article_id: raw_split1/2700   sentences: 34
article_id: raw_split2/391   sentences: 36
article_id: raw_split2/643   sentences: 57
article_id: raw_split2/627   sentences: 30
article_id: raw_split1/1530   sentences: 31
article_id: raw_split2/339   sentences: 29
article_id: raw_split2/78   sentences: 65
article_id: raw_split2/524   sentences: 30
article_id: raw_split2/146   sentences: 33
article_id: raw_split2/610   sentences: 32
article_id: raw_split1/53   sentences: 30
article_id: raw_split2/674   sentences: 30
article_id: raw_split2/266   sentences: 37
article_id: raw_split2/896   sentences: 31
article_id: raw_split2/749   sentences: 52
article_id: raw_split2/829   sentences: 29
article_id: raw_split1/2183   sentences: 35
article_id: raw_split2/426   sentences: 28
article_id: raw_split1/1620   sentences: 29
article_id: raw_split2/180   sentences: 31
article_id: raw_split1/713   sentences: 27
article_id: raw_split2/748   sentences: 29
article_id: raw_split2/72   sentences: 26
article_id: raw_split2/920   sentences: 55
article_id: raw_split2/763   sentences: 53
article_id: raw_split2/574   sentences: 30
article_id: raw_split1/1334   sentences: 26
article_id: raw_split2/209   sentences: 33
article_id: raw_split2/721   sentences: 27
article_id: raw_split2/66   sentences: 28
article_id: raw_split2/947   sentences: 65
article_id: raw_split1/1756   sentences: 42
article_id: raw_split1/1280   sentences: 42
article_id: raw_split2/299   sentences: 27
article_id: raw_split2/219   sentences: 30
article_id: raw_split2/535   sentences: 26
article_id: raw_split1/496   sentences: 30
article_id: raw_split2/736   sentences: 30
article_id: raw_split2/547   sentences: 27
article_id: raw_split2/259   sentences: 26
article_id: raw_split2/340   sentences: 25
article_id: raw_split2/715   sentences: 34
article_id: raw_split2/132   sentences: 56
article_id: raw_split1/392   sentences: 29
article_id: raw_split1/2476   sentences: 28
article_id: raw_split2/68   sentences: 33
article_id: raw_split2/495   sentences: 22
article_id: raw_split2/908   sentences: 28
article_id: raw_split2/234   sentences: 33
article_id: raw_split1/360   sentences: 28
article_id: raw_split2/650   sentences: 30
article_id: raw_split2/503   sentences: 29
article_id: raw_split2/493   sentences: 34
article_id: raw_split2/291   sentences: 30
article_id: raw_split1/1711   sentences: 32
article_id: raw_split1/1643   sentences: 29
article_id: raw_split2/360   sentences: 29
article_id: raw_split1/1506   sentences: 28
article_id: raw_split2/827   sentences: 27
article_id: raw_split2/174   sentences: 31
article_id: raw_split2/143   sentences: 28
article_id: raw_split2/512   sentences: 31
article_id: raw_split1/409   sentences: 33
article_id: raw_split2/479   sentences: 29
article_id: raw_split2/991   sentences: 52
article_id: raw_split2/432   sentences: 30
article_id: raw_split2/774   sentences: 64
article_id: raw_split1/1279   sentences: 28
article_id: raw_split2/445   sentences: 32
article_id: raw_split1/2014   sentences: 27
article_id: raw_split2/470   sentences: 66
article_id: raw_split2/471   sentences: 32
article_id: raw_split2/82   sentences: 28
article_id: raw_split1/1297   sentences: 35
article_id: raw_split2/211   sentences: 37
article_id: raw_split2/461   sentences: 35
article_id: raw_split2/894   sentences: 52
article_id: raw_split2/63   sentences: 28
article_id: raw_split2/975   sentences: 31
article_id: raw_split1/275   sentences: 35
article_id: raw_split1/1227   sentences: 33
article_id: raw_split2/886   sentences: 26
article_id: raw_split2/368   sentences: 30
article_id: raw_split1/1263   sentences: 25
article_id: raw_split2/586   sentences: 33
article_id: raw_split2/858   sentences: 29
article_id: raw_split2/762   sentences: 26
article_id: raw_split2/557   sentences: 27
article_id: raw_split2/811   sentences: 24
article_id: raw_split2/846   sentences: 26
article_id: raw_split2/199   sentences: 33
article_id: raw_split1/377   sentences: 27
article_id: raw_split2/698   sentences: 28
article_id: raw_split2/522   sentences: 36
article_id: raw_split2/739   sentences: 28
article_id: raw_split2/637   sentences: 30
article_id: raw_split2/447   sentences: 31
article_id: raw_split2/958   sentences: 30
article_id: raw_split2/992   sentences: 34
article_id: raw_split2/102   sentences: 32
article_id: raw_split2/243   sentences: 29
article_id: raw_split2/36   sentences: 28
article_id: raw_split2/142   sentences: 28
article_id: raw_split1/1736   sentences: 27
article_id: raw_split2/210   sentences: 34
article_id: raw_split1/1505   sentences: 23
article_id: raw_split2/161   sentences: 29
article_id: raw_split2/695   sentences: 66
article_id: raw_split1/1847   sentences: 31
article_id: raw_split2/723   sentences: 34
article_id: raw_split2/560   sentences: 24
article_id: raw_split2/730   sentences: 32
article_id: raw_split2/546   sentences: 32
article_id: raw_split2/628   sentences: 29
article_id: raw_split1/1037   sentences: 45
article_id: raw_split2/727   sentences: 31
article_id: raw_split2/526   sentences: 29
article_id: raw_split1/54   sentences: 36
article_id: raw_split1/2581   sentences: 33
article_id: raw_split2/222   sentences: 106
article_id: raw_split2/388   sentences: 28
article_id: raw_split2/433   sentences: 31
article_id: raw_split2/237   sentences: 26
article_id: raw_split2/393   sentences: 52
article_id: raw_split2/528   sentences: 30
article_id: raw_split1/343   sentences: 26
article_id: raw_split2/514   sentences: 59
article_id: raw_split2/960   sentences: 28
article_id: raw_split2/356   sentences: 35
article_id: raw_split2/233   sentences: 30
article_id: raw_split2/26   sentences: 28
article_id: raw_split2/423   sentences: 66
article_id: raw_split2/660   sentences: 57
article_id: raw_split2/791   sentences: 26
article_id: raw_split2/297   sentences: 30
article_id: raw_split1/2482   sentences: 34
article_id: raw_split2/436   sentences: 28
article_id: raw_split2/668   sentences: 34
article_id: raw_split2/746   sentences: 30
article_id: raw_split2/647   sentences: 30
article_id: raw_split1/969   sentences: 32
article_id: raw_split2/422   sentences: 33
article_id: raw_split2/277   sentences: 24
article_id: raw_split2/572   sentences: 30
article_id: raw_split2/876   sentences: 34
article_id: raw_split1/257   sentences: 33
article_id: raw_split2/934   sentences: 24
article_id: raw_split2/595   sentences: 28
article_id: raw_split1/953   sentences: 32
article_id: raw_split2/997   sentences: 24
article_id: raw_split2/238   sentences: 41
article_id: raw_split1/341   sentences: 31
article_id: raw_split2/551   sentences: 26
article_id: raw_split2/867   sentences: 31
article_id: raw_split1/2017   sentences: 35
article_id: raw_split2/453   sentences: 60
article_id: raw_split2/10   sentences: 30
article_id: raw_split2/759   sentences: 31
article_id: raw_split2/932   sentences: 30
article_id: raw_split1/1621   sentences: 22
article_id: raw_split1/2   sentences: 32
article_id: raw_split2/806   sentences: 36
article_id: raw_split1/2684   sentences: 33
article_id: raw_split1/2064   sentences: 35
article_id: raw_split2/189   sentences: 30
article_id: raw_split1/410   sentences: 27
article_id: raw_split2/838   sentences: 29
article_id: raw_split2/714   sentences: 26
article_id: raw_split2/195   sentences: 27
article_id: raw_split2/24   sentences: 34
article_id: raw_split1/2436   sentences: 24
article_id: raw_split2/37   sentences: 33
article_id: raw_split2/414   sentences: 28
article_id: raw_split2/7   sentences: 31
article_id: raw_split2/290   sentences: 65
article_id: raw_split2/100   sentences: 29
article_id: raw_split2/19   sentences: 31
article_id: raw_split2/996   sentences: 32
article_id: raw_split2/182   sentences: 28
article_id: raw_split2/348   sentences: 28
article_id: raw_split2/840   sentences: 31
article_id: raw_split2/830   sentences: 28
article_id: raw_split2/626   sentences: 26
article_id: raw_split2/29   sentences: 27
article_id: raw_split1/2651   sentences: 31
article_id: raw_split2/69   sentences: 29
article_id: raw_split2/377   sentences: 58
article_id: raw_split2/862   sentences: 34
article_id: raw_split2/45   sentences: 37
article_id: raw_split2/631   sentences: 38
article_id: raw_split2/306   sentences: 25
article_id: raw_split2/110   sentences: 32
article_id: raw_split1/1681   sentences: 28
article_id: raw_split2/396   sentences: 29
article_id: raw_split1/2460   sentences: 22
article_id: raw_split1/2090   sentences: 31
article_id: raw_split2/813   sentences: 26
article_id: raw_split2/954   sentences: 25
article_id: raw_split1/1713   sentences: 23
article_id: raw_split2/775   sentences: 32
article_id: raw_split2/516   sentences: 30
article_id: raw_split1/2202   sentences: 35
article_id: raw_split2/661   sentences: 24
article_id: raw_split2/122   sentences: 37
article_id: raw_split2/682   sentences: 29
article_id: raw_split1/1664   sentences: 31
article_id: raw_split2/486   sentences: 30
article_id: raw_split2/319   sentences: 32
article_id: raw_split2/157   sentences: 51
article_id: raw_split2/974   sentences: 31
article_id: raw_split2/373   sentences: 43
article_id: raw_split2/153   sentences: 32
article_id: raw_split2/429   sentences: 31
article_id: raw_split2/361   sentences: 51
article_id: raw_split2/316   sentences: 30
article_id: raw_split2/717   sentences: 32
article_id: raw_split2/212   sentences: 28
article_id: raw_split2/580   sentences: 58
article_id: raw_split2/473   sentences: 32
article_id: raw_split1/1278   sentences: 32
article_id: raw_split2/970   sentences: 28
article_id: raw_split2/553   sentences: 27
article_id: raw_split2/945   sentences: 34
article_id: raw_split1/2551   sentences: 30
article_id: raw_split2/926   sentences: 34
article_id: raw_split2/270   sentences: 28
article_id: raw_split1/2151   sentences: 26
